0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.0||||||GE|1|us-ag,ac|us-ag:435a8dc1/ac:as-as|||
0.8|1|0.8||||GE|1|us-ag,ac,ac-en|us-ag:5ae1de0f/ac:as-as/ac-en:gz,de|||
0.8|1|0.8||||GE|1|us-ag,ac,ac-en|us-ag:987584f7/ac:as-as/ac-en:gz,de|||
